# captured 2026-05-16T23:39:25Z
# device: cisco_iol L2-17.12.1, node=r1, host=172.20.20.3
# image:  vrnetlab/cisco_iol:L2-17.12.1 (sysObjectID .1.3.6.1.4.1.9.1.1824)
# oid root: 1.3.6.1.2.1.15.3

.1.3.6.1.2.1.15.3.1.1.10.0.0.2 = IpAddress: 2.2.2.2
.1.3.6.1.2.1.15.3.1.2.10.0.0.2 = INTEGER: 6
.1.3.6.1.2.1.15.3.1.3.10.0.0.2 = INTEGER: 2
.1.3.6.1.2.1.15.3.1.4.10.0.0.2 = INTEGER: 4
.1.3.6.1.2.1.15.3.1.5.10.0.0.2 = IpAddress: 10.0.0.1
.1.3.6.1.2.1.15.3.1.6.10.0.0.2 = INTEGER: 27541
.1.3.6.1.2.1.15.3.1.7.10.0.0.2 = IpAddress: 10.0.0.2
.1.3.6.1.2.1.15.3.1.8.10.0.0.2 = INTEGER: 179
.1.3.6.1.2.1.15.3.1.9.10.0.0.2 = INTEGER: 65001
.1.3.6.1.2.1.15.3.1.10.10.0.0.2 = Counter32: 2
.1.3.6.1.2.1.15.3.1.11.10.0.0.2 = Counter32: 2
.1.3.6.1.2.1.15.3.1.12.10.0.0.2 = Counter32: 7
.1.3.6.1.2.1.15.3.1.13.10.0.0.2 = Counter32: 7
.1.3.6.1.2.1.15.3.1.14.10.0.0.2 = Hex-STRING: 00 00 
.1.3.6.1.2.1.15.3.1.15.10.0.0.2 = Counter32: 1
.1.3.6.1.2.1.15.3.1.16.10.0.0.2 = Gauge32: 187
.1.3.6.1.2.1.15.3.1.17.10.0.0.2 = INTEGER: 60
.1.3.6.1.2.1.15.3.1.18.10.0.0.2 = INTEGER: 180
.1.3.6.1.2.1.15.3.1.19.10.0.0.2 = INTEGER: 60
.1.3.6.1.2.1.15.3.1.20.10.0.0.2 = INTEGER: 180
.1.3.6.1.2.1.15.3.1.21.10.0.0.2 = INTEGER: 60
.1.3.6.1.2.1.15.3.1.22.10.0.0.2 = INTEGER: 0
.1.3.6.1.2.1.15.3.1.23.10.0.0.2 = INTEGER: 0
.1.3.6.1.2.1.15.3.1.24.10.0.0.2 = Gauge32: 133
